SNR,Model,Parameter,MAE,RMSE,R2,Pearson,Bias,Error_SD
40,4_pld,CBF,2.132985830307007,3.0335867404937744,0.9889621138572693,0.9946844061127019,-0.5984000563621521,2.974130153656006
40,4_pld,ATT,0.18139952421188354,0.27107518911361694,0.857904314994812,0.9266502266938589,0.0016907340614125133,0.2710834741592407
40,3_pld,CBF,2.553377389907837,3.5061278343200684,0.9852555394172668,0.9940566627893698,-1.4353106021881104,3.1990373134613037
40,3_pld,ATT,0.18277154862880707,0.26982176303863525,0.8592153787612915,0.9269533134399469,-0.003656842513009906,0.2698104679584503
45,6_pld,CBF,2.3831467628479004,3.2004847526550293,0.9877141714096069,0.9950802000535116,-1.174565315246582,2.977311849594116
45,6_pld,ATT,0.17252576351165771,0.2645103633403778,0.8647034764289856,0.9300063942193239,0.00941241905093193,0.2643560469150543
45,4_pld,CBF,2.12115478515625,3.021209478378296,0.9890519976615906,0.9947351431636157,-0.6073401570320129,2.9596827030181885
45,4_pld,ATT,0.18029171228408813,0.26967117190361023,0.8593724966049194,0.9274620769269671,0.0001887409162009135,0.2696845829486847
45,3_pld,CBF,2.524912118911743,3.4821784496307373,0.9854562878608704,0.9941447036042125,-1.4259748458862305,3.1769752502441406
45,3_pld,ATT,0.18231558799743652,0.26873910427093506,0.8603428602218628,0.927574062259585,-0.004922767635434866,0.2687074542045593
50,6_pld,CBF,2.3725152015686035,3.1922333240509033,0.9877774119377136,0.9951131594077863,-1.1763731241226196,2.9677228927612305
50,6_pld,ATT,0.16861368715763092,0.25889021158218384,0.8703917860984802,0.9330346699384636,0.0074303848668932915,0.25879648327827454
50,4_pld,CBF,2.10013747215271,3.009165048599243,0.9891390800476074,0.9947779653200102,-0.6062701344490051,2.947605609893799
50,4_pld,ATT,0.17848031222820282,0.2657199203968048,0.863463282585144,0.9296954452433618,-0.00033966649789363146,0.2657329738140106
50,3_pld,CBF,2.515671968460083,3.4758849143981934,0.9855087995529175,0.9942057915766395,-1.446083664894104,3.160951852798462
50,3_pld,ATT,0.17972809076309204,0.26425719261169434,0.8649623394012451,0.9300675099251151,-0.005118580535054207,0.26422083377838135
55,6_pld,CBF,2.357102632522583,3.1762654781341553,0.9878993630409241,0.995155033812696,-1.1639822721481323,2.955449342727661
55,6_pld,ATT,0.1673610657453537,0.25633111596107483,0.8729414343833923,0.9343825329036192,0.005770672578364611,0.25627896189689636
