CBF,ATT,PLD,Selected,Signal_Amplitude,Norm_Signal,Slope_dS_dPLD,Abs_Slope,Curve_Max_PLD,Dist_to_Max,Curve_Region,Sens_CBF,Sens_ATT
35.0,3.0,2.025,False,80.90953516204273,0.6401171798147618,68.24713833791884,68.24713833791884,2.998997995991984,-0.9739979959919842,arrival/transition,2.3117010046297892,-116.94856246668678
35.0,3.0,2.525,True,108.79427004949508,0.860727739748025,45.06648500978372,45.06648500978372,2.998997995991984,-0.4739979959919842,near maximum,3.1084077156998546,-110.50917338356939
35.0,3.0,3.025,True,123.82166208404941,0.9796172104372899,-103.00882887533953,103.00882887533953,2.998997995991984,0.026002004008015778,near maximum,3.5377617738299776,-4.649416081517046
35.0,3.0,3.525,False,81.62827054475513,0.6458034671638797,-68.02110616565733,68.02110616565733,2.998997995991984,0.5260020040080158,post-maximum/decay,2.3322363012787193,18.85032066258475
35.0,3.0,4.025,False,53.81267251609667,0.4257398846787475,-44.917226363179,44.917226363179,2.998997995991984,1.0260020040080162,post-maximum/decay,1.537504929031332,12.426897273082744
50.0,0.5,1.525,True,346.6127035039249,0.6456485252252184,-288.59242890446694,288.59242890446694,1.0,0.5249999999999999,post-maximum/decay,6.932254070078471,80.04286460034962
50.0,0.5,2.025,False,228.501177093407,0.4256377406574601,-190.56984201686282,190.56984201686282,1.0,1.025,post-maximum/decay,4.57002354186811,52.76750850218406
50.0,0.5,2.525,True,150.63725998860085,0.28059769238811705,-125.8413632824504,125.8413632824504,1.0,1.525,late decay,3.0127451997719987,34.786485559086486
50.0,0.5,3.025,True,99.30620220655332,0.18498139956273257,-82.61410335786786,82.61410335786786,1.0,2.025,late decay,1.98612404413106,22.932664662430398
50.0,0.5,3.525,False,65.46668332546089,0.12194725442309587,-54.55360241098333,54.55360241098333,1.0,2.525,late decay,1.309333666509211,15.118144304236267
50.0,0.5,4.025,False,43.15829757260969,0.08039258485709552,-36.02406145018176,36.02406145018176,1.0,3.0250000000000004,late decay,0.8631659514521886,9.966494978585771
